,time_elapsed,epoch,fold,f1_train,auroc_train,auprc_train,f1_test,auroc_test,auprc_test
0,366.16350865364075,,0,0.8792735042735044,0.9312169312169313,0.9822311044161358,0.8174603174603174,1.0,1.0
0,111.88222646713257,61,1,0.8391263057929723,0.8359375000000001,0.9396293002273849,0.6805555555555557,0.07142857142857142,0.5766439909297052
0,362.9641773700714,,2,0.15364047716988893,0.9051339285714286,0.9759779697185588,0.0808080808080808,1.0,1.0
0,363.3780052661896,,3,0.795054945054945,0.9140625,0.9780218411871313,0.6805555555555557,0.7142857142857143,0.9280045351473922
0,364.57649540901184,,4,0.6589576001340708,0.8761160714285714,0.9641704263934555,0.5925925925925926,0.7857142857142857,0.9325680272108843
0,100.43215990066528,54,5,0.8462963428638486,0.8180803571428571,0.9392628848737911,0.6805555555555557,0.42857142857142855,0.8314058956916099
0,363.19949412345886,,6,0.9058993932276375,0.9151785714285714,0.9732164576934963,0.874074074074074,0.5714285714285714,0.799234693877551
0,364.5489454269409,,7,0.060597899272825204,0.9479166666666666,0.9866358348338484,0.027777777777777776,0.7142857142857143,0.9587585034013606
0,361.24790501594543,,8,0.5657524036515157,0.90625,0.9748945078213318,0.4246031746031746,1.0,1.0
0,360.01708126068115,,9,0.8039783001808318,0.93125,0.9822565434331507,0.8166666666666667,1.0,1.0
